,0
202,0.84760225
203,0.6881317
204,0.4906184
205,0.48530445
206,0.45948285
207,0.6418099
208,0.23572499
209,0.45673445
210,0.43561152
211,0.69479156
212,0.4171118
213,0.46055067
214,0.5044162
215,0.5346839
216,0.62152267
217,0.7079794
218,0.6842465
219,0.39197353
220,0.71489465
221,0.454014
222,0.64459944
223,0.52548766
224,0.34218684
225,0.51728207
226,0.6537299
227,0.47030413
228,0.6008706
229,0.44738865
230,0.56459105
231,0.49199605
232,0.5044162
233,0.48530445
234,0.69479156
235,0.6794902
236,0.6502296
237,0.6008706
238,0.43561152
239,0.40570617
240,0.5044162
241,0.5571088
242,0.016223252
243,0.6964238
244,0.67799485
245,0.49086446
246,0.6502296
247,0.6112042
248,0.20209774
249,0.5109638
250,0.38080758
251,0.90048707
252,0.7038721
253,0.6008706
254,0.4199717
255,0.6502296
256,0.27675158
257,0.48131287
258,0.42596048
259,0.34555766
260,0.12511173
261,0.48669538
262,0.25800318
263,0.58887935
264,0.5299
265,0.5564931
266,0.39281213
267,0.6311518
268,0.46037573
269,0.056890696
270,0.47241473
271,0.6230474
272,0.54517245
273,0.5437506
274,0.5564931
275,0.4740161
276,0.5235948
277,0.7574463
278,0.63489056
279,0.49847996
280,0.43820557
281,0.63489056
282,0.56459105
283,0.0362612
284,0.52548766
285,0.3829667
286,0.4970224
287,0.8911517
288,0.30313817
289,0.6980906
290,0.5288705
291,0.03016004
292,0.35284132
293,0.65725756
294,0.5535527
295,0.6537299
296,0.44481057
297,0.4983188
298,0.52422
299,0.66035235
300,0.4740161
301,0.71287227
302,0.55943334
303,0.4983188
304,0.3118413
305,0.48257864
306,0.6311518
307,0.52422
308,0.6516304
309,0.62429076
310,0.79712903
311,0.41996068
312,0.34587118
313,0.6881317
314,0.4199717
315,0.29062325
316,0.50975585
317,0.5235948
318,0.50657594
319,0.66283166
320,0.4647446
321,0.53573215
322,0.64629894
323,0.4856888
324,0.08751994
325,0.63030714
326,0.4418209
327,0.45391697
328,0.69579023
329,0.51397085
330,0.47576112
331,0.45429236
332,0.5564931
333,0.46682143
334,0.4913047
335,0.2816645
336,0.44390348
337,0.58887935
338,0.8911517
339,0.3829667
340,0.47576112
341,0.49015018
342,0.5299
343,0.41214028
344,0.51728207
345,0.37297732
346,0.6628317
347,0.4983188
348,0.67991734
349,0.31283128
350,0.65397966
351,0.62429076
352,0.4199717
353,0.35616222
354,0.6198822
355,0.7108402
356,0.3179258
357,0.6112042
358,0.40195313
359,0.62440026
360,0.50565875
361,0.4856888
362,0.57827294
363,0.35270798
364,0.5795209
365,0.76385534
366,0.52548766
367,0.681393
368,0.6475016
369,0.5343683
370,0.3527524
371,0.30175185
372,0.46015352
373,0.5564931
374,0.03788337
375,0.6906656
376,0.46055067
377,0.6628317
378,0.5235948
379,0.6980906
380,0.47576112
381,0.3365581
382,0.0301601
383,0.45447525
384,0.45948285
385,0.542904
386,0.59432155
387,0.71287227
388,0.42843363
389,0.5340087
390,0.639081
391,0.46381968
392,0.5120153
393,0.5299
394,0.51728207
395,0.5299
396,0.52552813
397,0.39790925
398,0.56904244
399,0.6980906
400,0.6881317
401,0.31573573
402,0.7137354
403,0.7095556
404,0.7038721
405,0.58887935
